corto,largo,rendimiento
1,11,-0.37603981927476765
1,12,-0.37259834611102066
1,13,-0.407436672424673
1,14,-0.46045380197433566
1,15,-0.5142012277277828
1,16,-0.49613788309280277
1,17,-0.4287764522272242
1,18,-0.368899976697973
1,19,-0.3355164823723745
1,20,-0.29201668253082846
1,21,-0.3460648681216546
1,22,-0.3905517754873903
1,23,-0.40647632774172165
1,24,-0.42668014786937986
1,25,-0.3523226837029924
2,11,-0.5267011624438833
2,12,-0.5060006697500945
2,13,-0.42982988660070476
2,14,-0.40611964810987455
2,15,-0.4130090969176124
2,16,-0.3904470871009936
2,17,-0.44048904848291387
2,18,-0.4723117043171235
2,19,-0.4188476013042532
2,20,-0.36860586572002035
2,21,-0.32163481167143915
2,22,-0.3156620386662438
2,23,-0.4504585847734346
2,24,-0.38168771633634196
2,25,-0.3263738946292862
3,11,-0.40742641058779794
3,12,-0.4233168062253329
3,13,-0.3822538938565882
3,14,-0.42308406010815053
3,15,-0.3741794265556142
3,16,-0.3371124737012624
3,17,-0.376392539419262
3,18,-0.4099777368066025
3,19,-0.41996348848566606
3,20,-0.43188418194061035
3,21,-0.4249347839563401
3,22,-0.40085913153397496
3,23,-0.3640338983558703
3,24,-0.4131397287965618
3,25,-0.3687101868549688
4,11,-0.305848041306524
4,12,-0.2548073066086357
4,13,-0.225207410462309
4,14,-0.21212381151045884
4,15,-0.09937916048567319
4,16,-0.0761011013714874
4,17,-0.20927698815900736
4,18,-0.21106315039343007
4,19,-0.217832433235675
4,20,-0.2333048648710061
4,21,-0.3228324251288404
4,22,-0.24689232355064836
4,23,-0.25617834998089095
4,24,-0.22573905535394648
4,25,-0.26793647195466475
5,11,-0.3044399320072517
5,12,-0.362489581138565
5,13,-0.27236290220458975
5,14,-0.16805248342657364
5,15,-0.17122263548489172
5,16,-0.19579281175998653
5,17,-0.2487736945023604
5,18,-0.31294058545219106
5,19,-0.24265825627851917
5,20,-0.25451104453766604
5,21,-0.22307366571874707
5,22,-0.16525319852569884
5,23,-0.17072640857450586
5,24,-0.1666595895879234
5,25,-0.2957720077549843
6,11,-0.2828007545434525
6,12,-0.40950778781719954
6,13,-0.27801721260463513
6,14,-0.2044209356469695
6,15,-0.2207769274404161
6,16,-0.2580461837991431
6,17,-0.12887856348560706
6,18,-0.2621077452515806
6,19,-0.26209678982441675
6,20,-0.25581149161437794
6,21,-0.18676832790353545
6,22,-0.21620356628123819
6,23,-0.19003808320315307
6,24,-0.22909113922192534
6,25,-0.3066398794443866
7,11,-0.22496990056619018
7,12,-0.314385376403588
7,13,-0.3263403721730041
7,14,-0.35761523192469824
7,15,-0.36634947983393157
7,16,-0.36961203959122146
7,17,-0.32488685518118576
7,18,-0.2698779630798075
7,19,-0.2935262561219638
7,20,-0.19214428049814727
7,21,-0.2600993117955094
7,22,-0.3260369922236476
7,23,-0.2895128822239076
7,24,-0.3248490164849619
7,25,-0.3614389598327689
8,11,-0.10344078781296843
8,12,-0.3367656787521477
8,13,-0.3478524839099896
8,14,-0.3854158639371667
8,15,-0.38825597369751913
8,16,-0.38691102169887825
8,17,-0.33477052172429034
8,18,-0.30156500723065505
8,19,-0.32042409078115214
8,20,-0.31974276548275055
8,21,-0.3561526474228575
8,22,-0.3478586388800517
8,23,-0.3188552595930297
8,24,-0.3336823097015232
8,25,-0.337809491930428
9,11,-0.40959959837544874
9,12,-0.3526898982186735
9,13,-0.37511861284657105
9,14,-0.36705781064646303
9,15,-0.3695520613447654
9,16,-0.36823518332604144
9,17,-0.3931228025018062
9,18,-0.31749481016325953
9,19,-0.4310335647550751
9,20,-0.40338406087840284
9,21,-0.42323050620400243
9,22,-0.32960511019178695
9,23,-0.23979986493304783
9,24,-0.2545116362752493
9,25,-0.3643895982791539
10,11,-0.26693906674495477
10,12,-0.4248794071525392
10,13,-0.39703932986186624
10,14,-0.34521474458489604
10,15,-0.4688302320603726
10,16,-0.3872598476712925
10,17,-0.32082012382711345
10,18,-0.4188942384716653
10,19,-0.4371963162659761
10,20,-0.42016932482274993
10,21,-0.3952747509237276
10,22,-0.24772080359647974
10,23,-0.2003114879671091
10,24,-0.1560855251580242
10,25,-0.17379104498174172
